source,target,relationship_type,annual_value_or_range,citation,confidence_score
Microsoft,OpenAI,equity_investment,13000000000,https://en.wikipedia.org/wiki/OpenAI,5
Microsoft,OpenAI,cloud_services,unknown,https://en.wikipedia.org/wiki/OpenAI,4
Microsoft,Nebius,cloud_contract,17400000000,https://www.reuters.com/business/nebius-signs-174-billion-ai-infrastructure-deal-with-microsoft-shares-jump-2025-09-08/,5
Microsoft,CoreWeave,cloud_contract,11000000000,https://www.tomshardware.com/tech-industry/artificial-intelligence/microsoft-inks-usd33-billion-in-deals-with-neoclouds-like-nebius-coreweave-nebius-deal-alone-secures-100-000-nvidia-gb300-chips-for-internal-use,4
Nvidia,OpenAI,hardware_sale,unknown,https://www.reuters.com/business/nvidia-invest-100-billion-openai-2025-09-22/,4
Nvidia,OpenAI,equity_investment,100000000000,https://www.reuters.com/business/nvidia-invest-100-billion-openai-2025-09-22/,4
Nvidia,CoreWeave,hardware_sale,unknown,https://en.wikipedia.org/wiki/CoreWeave,4
Nvidia,Intel,equity_investment,5000000000,https://www.cnbc.com/2025/09/26/nvidias-investment-portfolio.html,4
Oracle,OpenAI,cloud_contract,300000000000,https://business.thepilotnews.com/thepilotnews/article/marketminute-2025-10-16-ai-takes-center-stage-major-partnerships-and-cloud-deals-reshape-the-financial-landscape,3
CoreWeave,OpenAI,cloud_services,22400000000,https://www.thejoai.com/ai-news/intel-nvidia-openai-google-ai-investments-deals/,4
Nebius,Meta,cloud_contract,3000000000,https://www.reuters.com/technology/ai-cloud-firm-nebius-signs-3-billion-deal-with-meta-posts-more-than-four-fold-2025-11-11/,5
Nebius,Microsoft,cloud_contract,17400000000,https://www.reuters.com/business/nebius-signs-174-billion-ai-infrastructure-deal-with-microsoft-shares-jump-2025-09-08/,5
AMD,OpenAI,hardware_sale,unknown,https://thejoai.com/ai-news/amd-partners-openai-nvidia-sees-demand-microsoft-client-grows/,3
Intel,OpenAI,hardware_sale,unknown,https://www.thejoai.com/ai-news/intel-nvidia-openai-google-ai-investments-deals/,3
OpenAI,Microsoft,cloud_services,unknown,https://en.wikipedia.org/wiki/OpenAI,4
OpenAI,Oracle,cloud_services,unknown,https://business.thepilotnews.com/thepilotnews/article/marketminute-2025-10-16-ai-takes-center-stage-major-partnerships-and-cloud-deals-reshape-the-financial-landscape,3
OpenAI,CoreWeave,cloud_services,unknown,https://www.thejoai.com/ai-news/intel-nvidia-openai-google-ai-investments-deals/,4

