company,public_private,HQ,revenue_2023_full_USD,revenue_2024_full_USD,revenue_2025_LTM_full_USD,revenue_2023_AI_USD,revenue_2024_AI_USD,revenue_2025_LTM_AI_USD,EV_2023_USD,EV_2024_USD,EV_2025_LTM_USD,confidence_score,sources,notes
Nvidia,Public,"Santa Clara, CA",26970000000,60922000000,90000000000,22500000000,55000000000,82000000000,1100000000000,2200000000000,3100000000000,5,"SEC 10-K FY2023,FY2024; Market data Nov 2025",Data Center segment ~90% of revenue; EV based on market cap Nov 2025
Microsoft,Public,"Redmond, WA",211915000000,245122000000,275000000000,25000000000,45000000000,70000000000,2400000000000,3000000000000,3850000000000,5,"SEC 10-K FY2023,FY2024; Intelligent Cloud segment",Azure AI portion estimated ~18-25% of Intelligent Cloud; Market cap Nov 13 2025
Oracle,Public,"Austin, TX",49954000000,52961000000,56000000000,8000000000,12000000000,16000000000,280000000000,350000000000,420000000000,4,"SEC 10-K FY2023,FY2024; Cloud Infrastructure segment",Cloud infrastructure AI portion estimated; Market cap Nov 2025
AMD,Public,"Santa Clara, CA",22680000000,25823000000,29000000000,4500000000,8000000000,12000000000,180000000000,240000000000,290000000000,4,"SEC 10-K 2023,2024; Data Center segment","MI300 series AI accelerators; Data Center segment growth, market cap Nov 2025"
Intel,Public,"Santa Clara, CA",54228000000,54949000000,54000000000,3000000000,4000000000,5000000000,160000000000,150000000000,145000000000,4,"SEC 10-K 2023,2024; DCAI segment",DCAI (Data Center AI) segment declined; Gaudi AI accelerators; Market cap Nov 2025
OpenAI,Private,"San Francisco, CA",1600000000,3700000000,12000000000,1600000000,3700000000,12000000000,29000000000,80000000000,300000000000,3,"Wikipedia; Reuters; Bloomberg estimates","$300B valuation April 2025, $12B annualized revenue July 2025; Range: $10-14B"
CoreWeave,Private,"Roseland, NJ",500000000,1500000000,3000000000,500000000,1500000000,3000000000,8000000000,30000000000,70000000000,2,"Reuters Breakingviews Oct 2025; TechCrunch","Valuation ~$70B Oct 2025, revenue estimate; Range: $2-4B for 2025"
Nebius,Public,"Amsterdam, Netherlands",180000000,400000000,584000000,180000000,400000000,584000000,2500000000,15300000000,27610000000,4,"Reuters Nov 2025; Q3 2025 earnings","Q3 2025 revenue $146M, annualized ~$584M; Market cap $27.6B Nov 2025"
xAI,Private,"San Francisco, CA",50000000,200000000,800000000,50000000,200000000,800000000,5000000000,24000000000,50000000000,2,"Rothschild Growth Equity Report Nov 2024","$50B valuation Nov 2024, $6B funding; Revenue estimate for Grok; Range: $500M-1B"
Figure AI,Private,"Sunnyvale, CA",10000000,50000000,150000000,10000000,50000000,150000000,500000000,2600000000,3500000000,2,"TechCrunch Feb 2024; Bloomberg","$2.6B valuation Feb 2024, $675M funding from Microsoft, OpenAI; Revenue estimate"
Mistral,Private,"Paris, France",30000000,120000000,300000000,30000000,120000000,300000000,500000000,2000000000,6000000000,3,"TechCrunch; Reuters 2024","$6B valuation June 2024, $640M funding; Revenue estimate; Range: $200-400M"
Nscale,Private,"Unknown",5000000,20000000,50000000,5000000,20000000,50000000,100000000,300000000,500000000,1,"Limited public information","Very limited data available; Small AI infrastructure startup; High uncertainty"
Anysphere,Private,"San Francisco, CA",100000000,300000000,500000000,100000000,300000000,500000000,1000000000,5000000000,9900000000,3,"Wikipedia; Growth Equity Report Sep 2025","$9.9B valuation, $500M ARR 2025; Cursor AI coding assistant"
Ambience Healthcare,Private,"San Francisco, CA",10000000,30000000,80000000,10000000,30000000,80000000,200000000,650000000,1000000000,2,"TechCrunch estimates; OpenAI Startup Fund","$70M funding, OpenAI investment; Est valuation ~$1B; Range: $50-120M revenue"
Harvey AI,Private,"San Francisco, CA",15000000,50000000,120000000,15000000,50000000,120000000,300000000,715000000,1500000000,2,"TechCrunch; Bloomberg 2024","$1.5B valuation, $100M Series C with OpenAI; Legal AI; Range: $80-160M"

